Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
21/06/2023,14311,10246,359,17588,4011,87
09/10/2019,14754,12048,434,23526,0,0
31/03/2020,3064,1708,64,3871,49,0
19/10/2021,4930,2240,53,4649,0,21
07/05/2021,16324,9909,264,17623,5391,66
02/08/2019,18953,12744,340,25010,5738,0
01/08/2022,12972,8081,230,14630,3938,53
01/01/2020,1325,2312,0,2586,0,1
24/05/2022,14029,9022,242,15715,3905,75
19/07/2019,13846,11150,325,20012,0,0
25/01/2022,6884,4342,105,7925,0,49
20/08/2020,10797,5938,158,11319,1939,55
24/03/2021,16871,9638,336,18181,5814,84
01/09/2019,3761,4682,0,5936,0,0
08/07/2020,7017,5230,139,9859,0,3
31/05/2022,12985,7786,261,14379,4274,57
20/03/2020,14877,7872,262,17962,5398,0
24/09/2022,3197,5557,0,6828,0,10
31/08/2023,16478,11316,294,20284,4801,86
02/10/2020,9099,6465,153,11136,0,49
04/03/2021,16920,9332,304,17909,5813,76
13/09/2020,1898,2522,0,3907,0,14
05/12/2019,17696,11515,409,23119,4603,0
01/06/2022,13412,8458,243,14828,4518,78
12/06/2020,9550,5044,100,10276,4876,2
17/01/2021,1974,1898,0,4229,0,15
08/04/2020,2968,1516,65,3449,51,0
03/05/2023,16117,10940,417,19717,5204,82
03/07/2023,10990,9004,323,15119,0,61
05/08/2019,18527,11891,453,24856,5978,0
17/02/2022,13057,6728,149,12883,5477,80
11/12/2023,16067,9607,361,18616,1646,55
22/11/2020,1902,3027,0,4360,0,23
31/12/2021,4379,3044,17,5077,0,12
23/12/2020,8512,6393,152,10362,0,87
21/02/2023,16095,10856,326,20261,4967,69
20/04/2023,12443,10295,328,17890,0,80
13/01/2022,6164,3667,79,6893,0,30
22/02/2022,13219,6963,171,13410,5472,69
15/09/2020,12547,6439,200,12671,5124,95
21/04/2022,9704,7564,221,13175,0,49
30/03/2022,13667,8693,261,15187,5042,80
07/07/2021,10892,7901,285,13678,0,52
29/08/2021,463,375,0,821,0,9
05/07/2023,11548,9408,358,15663,0,53
23/07/2021,14234,8392,207,14986,5025,56
08/01/2022,2193,4014,0,4242,0,21
08/10/2021,2896,1233,21,2944,0,17
04/07/2020,1981,3575,0,4978,0,4
15/06/2020,9088,4707,133,9814,4998,1
28/04/2020,3568,1925,63,4240,76,1
03/07/2022,1850,3215,0,4811,0,22
07/12/2019,3798,7491,0,8072,0,4
16/12/2019,15611,10477,440,21149,1104,0
21/06/2022,12111,8289,251,14338,4000,52
14/02/2020,20092,12935,341,26149,5906,1
20/02/2020,20567,12657,488,27379,6106,1
21/05/2021,16352,10086,247,17849,5224,68
30/07/2022,2960,5559,0,6751,0,15
12/05/2021,16877,9874,338,17889,5379,46
16/05/2021,2161,3355,0,4701,0,26
09/10/2023,16351,10568,330,19222,4494,71
28/04/2022,14221,8741,252,15995,5169,71
